,name,dim
91,transformer/decoder_layer_15/multi_head_attention/query/w,"[6144, 6144]"
92,transformer/decoder_layer_15/multi_head_attention/value/w,"[6144, 1024]"
93,transformer/decoder_layer_15/rms_norm/scale,[6144]
94,transformer/decoder_layer_15/rms_norm_1/scale,[6144]
95,transformer/decoder_layer_15/rms_norm_2/scale,[6144]
96,transformer/decoder_layer_15/rms_norm_3/scale,[6144]
97,transformer/decoder_layer_15/router/w,"[6144, 8]"
98,transformer/decoder_layer_16/moe/linear/w,"[8, 6144, 32768]"
99,transformer/decoder_layer_16/moe/linear_1/w,"[8, 32768, 6144]"
100,transformer/decoder_layer_16/moe/linear_v/w,"[8, 6144, 32768]"
101,transformer/decoder_layer_16/multi_head_attention/key/w,"[6144, 1024]"
102,transformer/decoder_layer_16/multi_head_attention/linear/w,"[6144, 6144]"
103,transformer/decoder_layer_16/multi_head_attention/query/w,"[6144, 6144]"
104,transformer/decoder_layer_16/multi_head_attention/value/w,"[6144, 1024]"
105,transformer/decoder_layer_16/rms_norm/scale,[6144]
106,transformer/decoder_layer_16/rms_norm_1/scale,[6144]
107,transformer/decoder_layer_16/rms_norm_2/scale,[6144]
108,transformer/decoder_layer_16/rms_norm_3/scale,[6144]
109,transformer/decoder_layer_16/router/w,"[6144, 8]"
110,transformer/decoder_layer_17/moe/linear/w,"[8, 6144, 32768]"
111,transformer/decoder_layer_17/moe/linear_1/w,"[8, 32768, 6144]"
112,transformer/decoder_layer_17/moe/linear_v/w,"[8, 6144, 32768]"
113,transformer/decoder_layer_17/multi_head_attention/key/w,"[6144, 1024]"
114,transformer/decoder_layer_17/multi_head_attention/linear/w,"[6144, 6144]"
115,transformer/decoder_layer_17/multi_head_attention/query/w,"[6144, 6144]"
116,transformer/decoder_layer_17/multi_head_attention/value/w,"[6144, 1024]"
117,transformer/decoder_layer_17/rms_norm/scale,[6144]
118,transformer/decoder_layer_17/rms_norm_1/scale,[6144]
119,transformer/decoder_layer_17/rms_norm_2/scale,[6144]
120,transformer/decoder_layer_17/rms_norm_3/scale,[6144]
121,transformer/decoder_layer_17/router/w,"[6144, 8]"
122,transformer/decoder_layer_18/moe/linear/w,"[8, 6144, 32768]"
123,transformer/decoder_layer_18/moe/linear_1/w,"[8, 32768, 6144]"
124,transformer/decoder_layer_18/moe/linear_v/w,"[8, 6144, 32768]"
125,transformer/decoder_layer_18/multi_head_attention/key/w,"[6144, 1024]"
126,transformer/decoder_layer_18/multi_head_attention/linear/w,"[6144, 6144]"
127,transformer/decoder_layer_18/multi_head_attention/query/w,"[6144, 6144]"
128,transformer/decoder_layer_18/multi_head_attention/value/w,"[6144, 1024]"
129,transformer/decoder_layer_18/rms_norm/scale,[6144]
130,transformer/decoder_layer_18/rms_norm_1/scale,[6144]
131,transformer/decoder_layer_18/rms_norm_2/scale,[6144]
132,transformer/decoder_layer_18/rms_norm_3/scale,[6144]
133,transformer/decoder_layer_18/router/w,"[6144, 8]"
134,transformer/decoder_layer_19/moe/linear/w,"[8, 6144, 32768]"
135,transformer/decoder_layer_19/moe/linear_1/w,"[8, 32768, 6144]"
136,transformer/decoder_layer_19/moe/linear_v/w,"[8, 6144, 32768]"
137,transformer/decoder_layer_19/multi_head_attention/key/w,"[6144, 1024]"
138,transformer/decoder_layer_19/multi_head_attention/linear/w,"[6144, 6144]"
139,transformer/decoder_layer_19/multi_head_attention/query/w,"[6144, 6144]"
140,transformer/decoder_layer_19/multi_head_attention/value/w,"[6144, 1024]"
141,transformer/decoder_layer_19/rms_norm/scale,[6144]
142,transformer/decoder_layer_19/rms_norm_1/scale,[6144]
143,transformer/decoder_layer_19/rms_norm_2/scale,[6144]
144,transformer/decoder_layer_19/rms_norm_3/scale,[6144]
145,transformer/decoder_layer_19/router/w,"[6144, 8]"
146,transformer/decoder_layer_2/moe/linear/w,"[8, 6144, 32768]"
147,transformer/decoder_layer_2/moe/linear_1/w,"[8, 32768, 6144]"
148,transformer/decoder_layer_2/moe/linear_v/w,"[8, 6144, 32768]"
149,transformer/decoder_layer_2/multi_head_attention/key/w,"[6144, 1024]"
150,transformer/decoder_layer_2/multi_head_attention/linear/w,"[6144, 6144]"
151,transformer/decoder_layer_2/multi_head_attention/query/w,"[6144, 6144]"
152,transformer/decoder_layer_2/multi_head_attention/value/w,"[6144, 1024]"
153,transformer/decoder_layer_2/rms_norm/scale,[6144]
154,transformer/decoder_layer_2/rms_norm_1/scale,[6144]
155,transformer/decoder_layer_2/rms_norm_2/scale,[6144]
156,transformer/decoder_layer_2/rms_norm_3/scale,[6144]
157,transformer/decoder_layer_2/router/w,"[6144, 8]"
158,transformer/decoder_layer_20/moe/linear/w,"[8, 6144, 32768]"
159,transformer/decoder_layer_20/moe/linear_1/w,"[8, 32768, 6144]"
160,transformer/decoder_layer_20/moe/linear_v/w,"[8, 6144, 32768]"
161,transformer/decoder_layer_20/multi_head_attention/key/w,"[6144, 1024]"
162,transformer/decoder_layer_20/multi_head_attention/linear/w,"[6144, 6144]"
163,transformer/decoder_layer_20/multi_head_attention/query/w,"[6144, 6144]"
164,transformer/decoder_layer_20/multi_head_attention/value/w,"[6144, 1024]"
165,transformer/decoder_layer_20/rms_norm/scale,[6144]
166,transformer/decoder_layer_20/rms_norm_1/scale,[6144]
167,transformer/decoder_layer_20/rms_norm_2/scale,[6144]
168,transformer/decoder_layer_20/rms_norm_3/scale,[6144]
169,transformer/decoder_layer_20/router/w,"[6144, 8]"
170,transformer/decoder_layer_21/moe/linear/w,"[8, 6144, 32768]"
171,transformer/decoder_layer_21/moe/linear_1/w,"[8, 32768, 6144]"
172,transformer/decoder_layer_21/moe/linear_v/w,"[8, 6144, 32768]"
173,transformer/decoder_layer_21/multi_head_attention/key/w,"[6144, 1024]"
174,transformer/decoder_layer_21/multi_head_attention/linear/w,"[6144, 6144]"
175,transformer/decoder_layer_21/multi_head_attention/query/w,"[6144, 6144]"
176,transformer/decoder_layer_21/multi_head_attention/value/w,"[6144, 1024]"
177,transformer/decoder_layer_21/rms_norm/scale,[6144]
178,transformer/decoder_layer_21/rms_norm_1/scale,[6144]
179,transformer/decoder_layer_21/rms_norm_2/scale,[6144]
180,transformer/decoder_layer_21/rms_norm_3/scale,[6144]
181,transformer/decoder_layer_21/router/w,"[6144, 8]"
182,transformer/decoder_layer_22/moe/linear/w,"[8, 6144, 32768]"
183,transformer/decoder_layer_22/moe/linear_1/w,"[8, 32768, 6144]"
184,transformer/decoder_layer_22/moe/linear_v/w,"[8, 6144, 32768]"
185,transformer/decoder_layer_22/multi_head_attention/key/w,"[6144, 1024]"
186,transformer/decoder_layer_22/multi_head_attention/linear/w,"[6144, 6144]"
187,transformer/decoder_layer_22/multi_head_attention/query/w,"[6144, 6144]"
188,transformer/decoder_layer_22/multi_head_attention/value/w,"[6144, 1024]"
189,transformer/decoder_layer_22/rms_norm/scale,[6144]
190,transformer/decoder_layer_22/rms_norm_1/scale,[6144]
191,transformer/decoder_layer_22/rms_norm_2/scale,[6144]
192,transformer/decoder_layer_22/rms_norm_3/scale,[6144]
193,transformer/decoder_layer_22/router/w,"[6144, 8]"
194,transformer/decoder_layer_23/moe/linear/w,"[8, 6144, 32768]"
195,transformer/decoder_layer_23/moe/linear_1/w,"[8, 32768, 6144]"
196,transformer/decoder_layer_23/moe/linear_v/w,"[8, 6144, 32768]"
197,transformer/decoder_layer_23/multi_head_attention/key/w,"[6144, 1024]"
198,transformer/decoder_layer_23/multi_head_attention/linear/w,"[6144, 6144]"
199,transformer/decoder_layer_23/multi_head_attention/query/w,"[6144, 6144]"
200,transformer/decoder_layer_23/multi_head_attention/value/w,"[6144, 1024]"
201,transformer/decoder_layer_23/rms_norm/scale,[6144]
202,transformer/decoder_layer_23/rms_norm_1/scale,[6144]
203,transformer/decoder_layer_23/rms_norm_2/scale,[6144]
204,transformer/decoder_layer_23/rms_norm_3/scale,[6144]
205,transformer/decoder_layer_23/router/w,"[6144, 8]"
206,transformer/decoder_layer_24/moe/linear/w,"[8, 6144, 32768]"
207,transformer/decoder_layer_24/moe/linear_1/w,"[8, 32768, 6144]"
208,transformer/decoder_layer_24/moe/linear_v/w,"[8, 6144, 32768]"
209,transformer/decoder_layer_24/multi_head_attention/key/w,"[6144, 1024]"
210,transformer/decoder_layer_24/multi_head_attention/linear/w,"[6144, 6144]"
211,transformer/decoder_layer_24/multi_head_attention/query/w,"[6144, 6144]"
212,transformer/decoder_layer_24/multi_head_attention/value/w,"[6144, 1024]"
213,transformer/decoder_layer_24/rms_norm/scale,[6144]
214,transformer/decoder_layer_24/rms_norm_1/scale,[6144]
215,transformer/decoder_layer_24/rms_norm_2/scale,[6144]
216,transformer/decoder_layer_24/rms_norm_3/scale,[6144]
217,transformer/decoder_layer_24/router/w,"[6144, 8]"
218,transformer/decoder_layer_25/moe/linear/w,"[8, 6144, 32768]"
219,transformer/decoder_layer_25/moe/linear_1/w,"[8, 32768, 6144]"
220,transformer/decoder_layer_25/moe/linear_v/w,"[8, 6144, 32768]"
221,transformer/decoder_layer_25/multi_head_attention/key/w,"[6144, 1024]"
222,transformer/decoder_layer_25/multi_head_attention/linear/w,"[6144, 6144]"
223,transformer/decoder_layer_25/multi_head_attention/query/w,"[6144, 6144]"
224,transformer/decoder_layer_25/multi_head_attention/value/w,"[6144, 1024]"
225,transformer/decoder_layer_25/rms_norm/scale,[6144]
226,transformer/decoder_layer_25/rms_norm_1/scale,[6144]
227,transformer/decoder_layer_25/rms_norm_2/scale,[6144]
228,transformer/decoder_layer_25/rms_norm_3/scale,[6144]
229,transformer/decoder_layer_25/router/w,"[6144, 8]"
230,transformer/decoder_layer_26/moe/linear/w,"[8, 6144, 32768]"
231,transformer/decoder_layer_26/moe/linear_1/w,"[8, 32768, 6144]"
